"Data Source","World Development Indicators",

"Last Updated Date","2018-03-01",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Belgium","BEL","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.7","39.7","40.6","41.2","41","41.2","41.4","42","42.4","43.4","43.4","43.4","43.9","44.4","44.7","45.3","45.7","46","46.6","47","47.2","47.5","47.6","48.3","","","","",
"Benin","BEN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.7","","","","","","","","","","24.3","","","","","","","","25.9","","","","","","","",
"Burkina Faso","BFA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5","","","","","22.1","","23.1","","22.6","23.2","23.3","23.2","23.6","24.8","25.4","26.5","26.5","","","","","","","","","","",
"Bangladesh","BGD","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.2","","","","","26.7","","","","24.7","","","21.6","","20.1","","","","","18.3","","","","","","","",
"Bulgaria","BGR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.9","49","49.2","49.3","49.2","49.5","49.2","49.6","50.6","50.3","49.9","49.6","49.1","49.3","49.1","48.7","48.8","49.2","49.3","49.6","49.8","","","","",
"Bahrain","BHR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.3","12.7","14","15.5","16.6","","","17.1","","19.8","20","21.3","20.5","20.5","20.4","20.1","19.8","19.5","19.5","19.5","20.5","20.9","","","","","","",
"Bahamas, The","BHS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.6","48.8","48.6","48.9","49.4","47.6","48.1","49.4","48.4","","49.8","49.7","50.1","50.4","50","49.7","48.8","49.2","50.2","52.4","","","","","","","",
"Bosnia and Herzegovina","BIH","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2","34.7","35.7","35.8","36.1","36.9","36.7","38","","","","",
"Belarus","BLR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51.9","51.8","51.9","50.6","51.5","52.2","51.2","51.3","51.4","52.1","52.4","52.8","53","53.1","53","52.9","52.8","52.8","52.8","","52.1","51.1","52.2","51.1","","","","",
"Belize","BLZ","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.9","32.7","33","33.3","33.2","34.4","34.1","","35","34","","","36.5","35.9","37.7","","","","","","","","","","",
"Bermuda","BMU","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48.7","49.1","49.6","49.8","50.3","50.4","50.4","50.5","50.3","49.9","49.8","49.3","49.4","48.9","48.7","48.6","48.5","48.7","","53.7","52.4","50.3","55.4","","","","","",
"Bolivia","BOL","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","35.2","34.8","34.2","36.8","35.3","35.9","36.9","36.1","","34.5","38.6","38.1","38.2","","36.1","37.7","42.4","38.1","","36.5","","36.7","","","","","","",
"Brazil","BRA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.2","","42.8","43","","44.1","44.3","44.3","","","","","46.1","46.6","46.8","46.7","47","46.8","","47.2","","47.1","47.2","47.4","","","","",
"Barbados","BRB","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.8","46.4","48.9","48.1","48","49.3","47.9","48.8","48","49","49.9","50.1","50","51.1","51.3","52","51.2","50.4","50.7","51.8","51.9","51","51","52","","","","",
"Brunei Darussalam","BRN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","22.5","","","19.5","17.2","19","19.9","23.8","26.7","30.3","28.9","29","30.3","","","","","","","","","","","","","","",
"Bhutan","BTN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","23.9","","","","","","","","","26.8","","27.7","26.3","","","","","",
"Botswana","BWA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","33.5","33.4","36.6","","","38.4","38.6","39.1","38.8","40.5","42.9","41.1","42.4","40.8","39.5","42.6","43.6","43.4","","41.6","41.4","","","","","","","",
"Central African Republic","CAF","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.8","","","","","","","","","","","","","","",
"Canada","CAN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.9","47.8","48","48.1","47.8","48","48","47.7","48.3","48.4","48.4","48.8","48.9","49.2","49.4","49.1","49.2","49.6","49.7","50.4","50.2","49.8","49.8","49.7","","","","",
"Central Europe and the Baltics","CEB","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","46.4225527853855","46.6575909924634","46.8021308339538","47.0370427151215","47.4254878095037","47.5986371646452","47.7726801258112","47.8961318826838","47.9684406309452","47.8895087782813","47.4311280544679","47.4114615789492","47.2418220731166","47.1340442756531","47.4609155944806","47.5625984796192","47.3187248889032","47.3738576115207","47.4156428051933","","","","",
"Switzerland","CHE","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","43.4","43.7","43.6","43.3","43.7","44.2","44.6","45","45.2","45.8","45.8","46.2","46.9","46.8","47","47","46.9","46.7","47","45.2","46.9","46.7","46.8","47.5","","","","",
"Channel Islands","CHI","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.3","36.6","37.4","37.5","37.6","37.3","36.8","37.2","31.7","32.7","32.8","32.9","33.2","33.5","34.2","34.4","34.9","35.5","36.2","36.9","37.8","37.8","38.5","39","","","","",
"China","CHN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.8","37.9","35.8","37.3","38.1","38.7","38.7","38.8","37.9","39.1","","","","","","","","","","","","","","","","","","",
"Cote d'Ivoire","CIV","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.6","","","","","","","","","","","","","","20.6","","","","","",
"Cameroon","CMR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","19.2","","","","","22.2","","","","","","","","","26.4","","","","","","","",
"Congo, Dem. Rep.","COD","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","25.9","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Congo, Rep.","COG","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.1","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Colombia","COL","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.8","43.6","44.4","44.6","43.6","44.9","44.7","46.1","45.8","47.8","48.8","49.1","50.1","48.8","48.3","47.4","46.6","47.5","47.5","46.3","46.4","45.9","45.6","46.4","","","","",
"Comoros","COM","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18","","","","","","","","","","","","","","","","","","","","","",
"Cabo Verde","CPV","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","","","","","","","","","","","","","","","","","",
"Costa Rica","CRI","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2","37.4","37.8","36.3","36.5","36.7","37.2","37.5","38.8","39.5","39.3","40.1","39.9","39.5","38.5","39.6","40.7","41.1","41.5","42.8","42.9","43","43.1","43.4","","","","",
"Caribbean small states","CSS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.4095343837346","44.8220801731319","45.1869067269592","45.5233314122954","45.6076360246312","45.0338078046529","44.6861226523991","43.6346249762917","44.3442293058343","43.9592478701826","","44.1459485706455","44.4174476402712","45.8397261946141","45.2565737635498","45.6323754097016","","","","","48.0248250663244","","","","","","","",
"Cuba","CUB","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.3","42","42.3","42.9","43.3","43.3","42.8","42.3","42.8","42.6","42.6","42.7","43.7","43.4","44.8","44.8","","","","","","","",
"Curacao","CUW","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50","","","","","","51.8","","","51.2","","51.8","54.2","52.2","49.5","49.4","49.3","50.5","","","52.3","52.3","51.8","","","","",
"Cyprus","CYP","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41.3","41.6","42","42.4","43.2","44.4","47.4","48.2","49.3","48.2","47.7","48.1","49.1","48.7","50","50.8","51.4","51.2","51.9","","","","",
"Czech Republic","CZE","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","51","48.3","45.7","46","46.4","46.3","46.3","46.2","46.2","46.5","46.5","46.6","46.7","46.8","47.1","46.6","46.4","46.3","46","45.9","46.1","46.1","46.2","46","","","","",
"Germany","DEU","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7","42.8","42.8","43.1","43.4","44.1","44.3","44.6","45.2","45.4","45.7","46.1","46.7","46.8","46.8","47","47","47","47.6","47.8","47.9","47.9","48","","","","",
"Djibouti","DJI","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","26.7","","","","","","","","","","","","","","","",
"Dominica","DMA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","39.7","","","","","","46.8","","44","","43.8","","","","","","","","","","","","","","","","",
"Denmark","DNK","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","48","48.2","48.4","48.7","47.7","46.5","47.3","47.6","48.1","48.3","48.5","48.9","49","48.3","48.8","48.7","48.8","49","49.3","49.5","50","49.7","49.7","49.6","","","","",
"Dominican Republic","DOM","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.5","31.3","31.4","32.6","34","32.3","32.1","34.6","34.6","37.3","38","39.5","38.9","38.2","38.3","39.4","39.2","40.1","39.1","40.6","41.2","41.6","","","","","",
"Algeria","DZA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13.4","","14.2","14.5","14.7","15","16.8","15","15.3","15.1","","","17.6","","","","",
"East Asia & Pacific (excluding high income)","EAP","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.1268861300955","37.4793636066924","35.6873278681855","36.9688337365896","37.620421863081","37.8734938741014","38.0434506741906","38.2965148104467","37.7530401583195","38.7158426967189","","","","","","","","","","","","","","","","","","",
"Early-demographic dividend","EAR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18.9775469278641","20.7667556541151","20.3817210302207","21.3587888084997","20.6821223607577","22.4762028101045","23.2244226857013","23.0125397369035","24.0323814470777","24.502551012977","25.0951108991624","24.6378421525472","25.0552096428671","24.5481631179793","26.0484332907212","26.2145135412324","","","","28.2163125457394","28.270283037245","","","","","","","",
"East Asia & Pacific","EAS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","37.2921153047128","37.651506731528","36.0566527372838","37.2096608640544","37.8154990395263","38.0413449924674","38.2246490053316","38.4854566939606","37.9842481920896","38.8894459309411","","","","","","","","","","","","","","","","","","",
"Europe & Central Asia (excluding high income)","ECA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.2751362246809","44.8873440764003","44.4719728225609","45.4662200645064","45.3673478590525","45.7621792474202","45.9443819041936","45.8795606248672","46.1080607130173","46.3884744743391","46.3307428215798","46.6011236996288","47.0269703032059","46.7015017230392","46.8244982203171","46.99126401381","47.1226809028368","46.8079118715013","46.9858291246421","46.7772407235111","46.7159397482503","46.556982004751","","","","",
"Europe & Central Asia","ECS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.1615176165222","44.1803918905903","44.1713351993266","44.8187871137758","44.9299790221349","45.135672044306","45.2631827161423","45.5313563912609","45.7208777331268","46.0192811131975","46.2113816178174","46.5542678442754","46.7982627040312","46.7266114552268","46.8721552766882","47.0307461970011","47.0024014964028","47.4782367730825","47.4330972797416","47.2944873029029","47.4930773994012","47.4665938956164","","","","",
"Ecuador","ECU","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","30.9","31.5","33.4","32","32.9","33.3","33.3","33.8","33.3","39","39.3","38.7","38.1","","39.2","40.2","38.7","","","","","39.2","39.8","38.4","","","","",
"Egypt, Arab Rep.","EGY","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20.5","18.7","17.8","18.8","18.9","18.9","","18.9","20","20.9","19","20.7","22.4","19.9","18.8","17.7","18.1","19","18","18.1","18","18.5","19.1","18.6","","","","",
"Euro area","EMU","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.2480592744785","41.1496600113571","41.664015800708","41.9163473817163","42.3873424663082","42.5680051883333","43.0219261094831","43.2417882560799","43.4167803482002","43.8551252330094","44.1989500040543","44.5248740872805","44.9364876744738","45.5542462502637","45.7339504727737","46.0373703239979","46.2929950407291","46.5605964529654","46.3453270646497","47.7753853547605","47.4563255725579","47.3932315837226","47.9216945805158","47.9970869520578","","","","",
"Eritrea","ERI","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","31.1","","","","","","","","","","","","","","","","","","","","","",
"Spain","ESP","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","32.3","33","33.6","34.6","35.6","35.7","36.5","37.2","37","37.9","38.9","39.2","40.3","41","41.8","42.6","43.3","44","42.8","48.9","45.1","45.8","46.8","47","","","","",
"Estonia","EST","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","52.3","51.7","51.2","51.4","51.1","50.8","51.3","51.9","51.5","51.7","51.5","51.4","51.8","51.6","53.2","52.8","51.9","51.7","51.3","53.2","53.4","52.4","52.5","52","","","","",
"Ethiopia","ETH","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","40.9","","","","","40.6","43.8","41.3","","","39.7","41.6","39.5","41.6","38.8","","","","",
"European Union","EUU","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","42.7327638489666","43.0312769640369","43.2825629905811","43.663277901762","43.9750134448063","44.2380674925464","44.563099740293","44.699176755252","44.8004242723003","45.3046935886229","45.505821530535","45.7804685795413","46.1174631715931","46.4790058649313","46.6365364265398","46.7237946536758","46.9055958025928","47.0166625009763","46.8583629233144","47.9023514162927","47.6847045477586","47.6029080058782","47.9784836594364","48.0412693584335","","","","",
"Fragile and conflict affected situations","FCS","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Finland","FIN","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","50.6","51.4","52.2","52.1","51.9","51.5","51.2","51","51","50.2","50.4","50.3","50.7","50.9","50.7","50.9","51","51","50.7","51.9","51.3","51.2","51.5","51.5","","","","",
"Fiji","FJI","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.9","","","30.3","","","31.5","32.6","34","34.9","33.2","","","","","29.6","","","","","","","","","","","","",
"France","FRA","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","44.7","45","45","45.7","46.2","46.2","46.5","46.5","46.8","46.8","46.8","46.7","47.2","48.3","48","48.6","48.9","49.3","49.1","49.6","49.8","48.4","49.6","49.6","","","","",
"Faroe Islands","FRO","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","45.8","","","","","","","","","","","","",
"Micronesia, Fed. Sts.","FSM","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Gabon","GAB","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","29.3","","","","","","","","","","","","","","","","","34.5","","","","","","","",
"United Kingdom","GBR","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","47.4","48.6","47.5","48","48","47.9","47.9","47.7","47.3","48.5","48.2","48.5","48.8","48.6","48.9","48.9","49","48.8","48.9","49.4","49.3","49.2","49.2","49.2","","","","",
"Georgia","GEO","Share of women in wage employment in the nonagricultural sector (% of total nonagricultural employment)","SL.EMP.INSV.FE.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","49.4","49.2","","","49.6","48.9","50.3","48.5","48.5","47.8","46.2","46.7","48.5","47.1","45.7","47.3","","","","",
