Country_Name,Country_Code,Indicator Name,Indicator Code,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
"Bahamas, The",BHS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bosnia and Herzegovina,BIH,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,0.3,,,0.2,,,0.1,,,,0.1,,,,,,
Belarus,BLR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,11.5,10.3,7.6,3.8,2.6,2.1,0.8,0.5,0.2,0.2,0.1,0.1,0,0,0,0,0,0,,
Belize,BLZ,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,10,9.9,,11.8,15.2,13.5,12.1,,,,,,,,,,,,,,,,,,
Bermuda,BMU,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,BOL,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,7.7,,,,,,,16.4,,22.1,26.1,20.2,21.2,,12.3,17.5,15.1,12.8,10.4,10.1,,6.8,8,6.6,6,6.1,,
Brazil,BRA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,19.7,19.1,24.3,23.6,20.1,8.9,15.1,18.3,16.8,16.7,,17.3,16.6,,11.2,12.1,12,10.9,11.4,,11.7,10.5,11.1,9.8,8.7,7.3,7.2,6,5.7,,5.1,4.3,4.5,3.3,3.9,,
Barbados,BRB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brunei Darussalam,BRN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,BTN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,27.2,,,,8.7,,,,,3.3,,,,,
Botswana,BWA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,32.6,,,,,,,,26.8,,,,,,,,,23.4,,,,,,,14.7,,,,,,,,
Central African Republic,CAF,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,71.1,,,,,,,,,,,49.2,,,,,50.5,,,,,,,,,
Canada,CAN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,0.5,,,,,,0.1,,,,0.2,,,0.2,,,0.3,0.3,,0.2,,,,0.2,,,0.1,,,0.2,,,0.3,,,,
Central Europe and the Baltics,CEB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Switzerland,CHE,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,0,0,0,0,0,,,,
Channel Islands,CHI,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,8.2,,,7.6,,5,,5,,3.7,,3.6,,4.3,,,4,,,2.4,,,2.6,,1.6,,0.9,,1.3,,
China,CHN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,47.3,,,41.7,,,32,,,30.7,,,24.8,,,15.6,,,12.3,,9.6,7.4,6.2,2.8,,,,
Cote d'Ivoire,CIV,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,6.4,4.3,7.2,10.5,,,,18.9,,,17.9,,,21.3,,,,20.8,,,,,,24.4,,,,,,,23.1,,
Cameroon,CMR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,34.7,,,,,19.4,,,,,,22.8,,,,,,,18.8,,,
"Congo, Dem. Rep.",COD,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,77.1,,,,,,,,58,,,,,
"Congo, Rep.",COG,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,37.5,,,,,,29.1,,,,,,
Colombia,COL,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,8.4,,,,14.2,,,17.2,15.4,18.1,12.5,11.1,10.4,9.1,,,9.6,8.4,7.1,6,6.5,5.6,5.3,5,,
Comoros,COM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,11.8,,,,,,,,,14.9,,,,
Cabo Verde,CPV,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,13.7,,,,,,8,,,,,,,,,,
Costa Rica,CRI,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,28.8,,,,,10.8,,,11.2,8.9,10.5,8.6,7.6,6.1,6.5,7.4,5.7,4.5,5.7,6,6,5.8,5.5,5.1,4,4,2.4,2.7,3.1,1.5,1.6,1.6,1.5,1.5,1.5,,
Caribbean small states,CSS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Curacao,CUW,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cayman Islands,CYM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cyprus,CYP,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,0.1,0.1,0,0,0,0.1,,,
Czech Republic,CZE,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,0,,,,,0,,,0.2,,,,,,,,0,0,0.1,0.1,0.1,0,0,0.1,0.1,0,0,,,
Germany,DEU,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2,0.1,0.1,0,0.1,0.1,,0,,,,
Djibouti,DJI,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,17.6,,,,,,,,,,16.2,18,,,,
Dominica,DMA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Denmark,DNK,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.2,0.1,0.1,0.2,0.3,0.2,0,0,0.3,0.3,,,
Dominican Republic,DOM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,30.5,,,28.4,,,5.4,,,,4.7,4.8,,,4.7,3.9,5.3,6.2,8.1,5.5,4.6,4.3,4,3.5,3.2,3.1,3,2.6,2.4,2,,
Algeria,DZA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,6.8,,,,,,,6.6,,,,,,,,,,,,,,,,0.8,,,,,,
East Asia & Pacific (excluding high income),EAP,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Early-demographic dividend,EAR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Asia & Pacific,EAS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,58.8,,,50.2,,,43.6,,,44.1,,,39.4,,,31.1,,,29.5,,,23.7,,,16.2,,,13,,10.1,8.2,7.2,4.6,,,,
Europe & Central Asia (excluding high income),ECA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Europe & Central Asia,ECS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,2,,,2.9,,,5.4,,,6.9,,,7.4,,,5.4,,,4.2,,,2.8,,2.6,2.5,2.4,2.2,,,,
Ecuador,ECU,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,19.1,,,,,,,15.2,,,,14.2,18.6,22.9,,,14.7,13.2,11.8,8.4,8.9,8.3,8.2,6.6,5.8,5.5,4.2,3.7,4.5,,
"Egypt, Arab Rep.",EGY,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,9.5,,,,,8.7,,,,4.7,,,,,7.3,,,,6.6,,5.6,,4.5,,,3,,
Euro area,EMU,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eritrea,ERI,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spain,ESP,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.8,0.7,0.6,0.7,0.5,0.7,0.7,1.1,0.8,1,0.8,,,
Estonia,EST,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,0.1,,,,,1.7,,,,,,,,,,2.3,1.1,0.7,0.7,0.4,0.4,0.5,0.7,0.8,0.6,0.9,0.7,,,
Ethiopia,ETH,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,47.7,,,,40.3,,,,,29,,,,,,28,,,,,,,
European Union,EUU,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fragile and conflict affected situations,FCS,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,40.7,,,41.3,,,40.9,,,41.4,,,44.5,,,42.9,,,40.2,,,38.5,,,35.1,,,31.8,,30.2,29.8,28.4,27.4,,,,
Finland,FIN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0,0.1,0.1,0.1,0.1,0.1,0,0.1,0.1,0,0,,,
Fiji,FJI,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,5.7,,,,,,4.2,,,,,3,,,,
France,FRA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0,0,0,,0.1,0,0,0,0,,,
Faroe Islands,FRO,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Micronesia, Fed. Sts.",FSM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,9.9,,,,,,,,14,,,,
Gabon,GAB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,7.8,,,,,,,,,,,,
United Kingdom,GBR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.3,0.5,0.2,0.3,0.3,0.1,0.1,0.3,0.2,0.1,0.1,,,
Georgia,GEO,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,5.5,15.1,14.1,17.1,18.3,18.6,15.1,15.5,14.7,14.3,12.6,14.2,13.6,13.6,16,15,13.5,10.4,9,7.8,,
Ghana,GHA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,31.6,31,,,35.8,,,,,,,26.7,,,,,,,20.6,,,,,,,12.3,,,,,
Gibraltar,GIB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,GIN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,76.5,,,36.5,,,,,,,,45.9,,,,,43.6,,,,,28.4,,,,,
"Gambia, The",GMB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,54,,,,,34.5,,,,,,,,,,,,,,
Guinea-Bissau,GNB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,35.1,,48.2,,,,,,,,,39.7,,,,,,,,49.6,,,,,,,
Equatorial Guinea,GNQ,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greece,GRC,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.7,0.3,0.5,0.5,0.3,0.6,0.9,1.1,1.3,0.9,1.4,,,
Grenada,GRD,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Greenland,GRL,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guatemala,GTM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,40,,,30.5,,,,,,,,,11.4,,9.1,,,,,,9.7,,,,,10.4,,,8.7,,,
Guam,GUM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guyana,GUY,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,26.7,,,,,,11.7,,,,,,,,,,,,,,,,,,,
High income,HIC,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,0.6,,,0.6,,,0.5,,,0.5,,,0.5,,,0.7,,,0.5,,,0.5,,,0.6,,,0.5,,0.6,0.6,0.5,0.5,,,,
"Hong Kong SAR, China",HKG,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Honduras,HND,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,30,34.7,26.5,23,19.7,21.2,22.2,24.9,17.2,21.8,21.9,,15.3,24,22.1,21.3,22.8,19.4,14.5,13.2,11.4,12.4,15.2,17.8,15.9,14.6,14.5,,
Heavily indebted poor countries (HIPC),HPC,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Croatia,HRV,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,0.1,,,,,,,,,,,,,,,,,,,,,0.9,1.2,0.7,0.9,0.9,0.9,,,
Haiti,HTI,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.3,,,,,
Hungary,HUN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,0.1,,0.1,,,,0.2,,,,,,,,,,,0.1,0.6,0.1,0.1,0,0.1,0.1,0.1,0.2,0.1,0.6,,,
IBRD only,IBD,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA & IBRD total,IBT,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IDA total,IDA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,39.3,,,39.8,,,40.4,,,40.1,,,40.3,,,37.8,,,37.3,,,36.6,,,31.3,,,28.3,,26.4,25.5,24.3,23.4,,,,
IDA blend,IDB,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Indonesia,IDN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,49.7,,,49,,,40.8,,,40.5,,,34,,45.5,31.2,31.4,29.2,21.5,21.1,21.8,20.1,23.7,20.1,19,17.5,15.3,13.8,12.8,11.6,10.4,9.2,8.5,
IDA only,IDX,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Isle of Man,IMN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
India,IND,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,39.4,,,,33.8,,,,,,34.4,,,,,,,,,,,29.8,,,,,25.8,,19.7,,,,,,
Not classified,INX,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ireland,IRL,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0.2,0.1,0.1,0.4,0.5,0.5,0.3,0.6,0.4,,,
"Iran, Islamic Rep.",IRN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,6.9,,,,6,,,,3.9,,,,3.4,,,,,,,0.7,0.7,,,1,,,,0.2,0.5,,,
Iraq,IRQ,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,3.9,,,,,,3.9,,,,,
Iceland,ISL,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.1,0,0.1,0.1,0.1,0.1,0.1,0.1,0,0,0,,,
Israel,ISR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,0.2,,,,,,0.1,,,,,0.3,,,,0.1,,,,0.5,,0.3,,,0.3,,0.5,,,,,
Italy,ITA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,0.6,0.7,0.7,0.6,0.6,0.8,1.1,1.1,1.1,1.3,1.1,,,
Jamaica,JAM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,7.2,,5.2,,,9.7,,,3.8,,,2.9,,,3.1,,2.2,,,,,,,,,,,,,
Jordan,JOR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,0.2,,,,,,3.8,,,,,2.6,,,,,1.6,,,,0.7,,0.5,,0.4,,,,,,,
Japan,JPN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,,,,,,,,
Kazakhstan,KAZ,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,7.1,,,,,10.2,7.6,5.7,4.4,0.6,1.2,0.8,0.4,0.5,0.3,0.1,0.1,0.1,0,0.1,,
Kenya,KEN,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,18.6,,16.3,,,17.5,,,,,,,,26.6,,,,,,,,,,,,
Kyrgyz Republic,KGZ,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,35.9,,,,,24.2,,32.2,28.9,27.8,24.7,14,15.7,10.9,10.3,5.8,4.1,5.7,4,4.7,5.6,3.5,4.7,,
Cambodia,KHM,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kiribati,KIR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,11.3,,,,,,,,,,,
St. Kitts and Nevis,KNA,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",KOR,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3,,0.3,,0.3,,0.3,,,,,
Kuwait,KWT,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Latin America & Caribbean (excluding high income),LAC,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lao PDR,LAO,Poverty gap at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC.GP,,,,,,,,,,,,,26.5,,,,,31.8,,,,,27.2,,,,,23.6,,,,,19.9,,,,,
